comparison_id	left_gene_set	right_gene_set	gene_symbol	status
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	RB1CC1	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	SCAF1	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	SCN2A	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	SETD1A	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	SP4	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	STAG1	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	TRIO	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	XPO7	shared
schema_phase2_2026-07-15_bonferroni__vs__schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-07-15_bonferroni	schema_phase2_2026-08-07_bonferroni	ZMYM2	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	ATP1A1	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	ATP9A	shared
schema_phase2_2026-08-07_bonferroni__vs__schema_phase2_2026-08-21_bonferroni	schema_phase2_2026-08-07_bonferroni	schema_phase2_2026-08-21_bonferroni	CHRM4	shared
